Teljestmény,,1.95,,1.65,,1.25,,1.04,,1.00,,1.09,,1.33,,1.72,,4.00,1600,23,Watt,
Ár,,,1.62,,1.45,,1.19,,1.03,,1.00,,1.04,,1.25,,1.48,1.00,400,,400,
Számla,Tető,,,,,,,,,,,,,,,,,,,,,
37.56,,Észak,,Észak-kelet,,Kelet,,Dél-kelet,,Dél,,Dél-nyugat,,Nyugat,,Észak-nyugat,,,CO2 csökkentés,Fa CO2 megkötés,,
,,kWp,Ár,kWp,Ár,kWp,Ár,kWp,Ár,kWp,Ár,kWp,Ár,kWp,Ár,kWp,Ár,,,,,
9000,ferde,4.96,"2,506,825 Ft",4.20,"2,250,659 Ft",3.17,"1,845,298 Ft",2.65,"1,602,286 Ft",2.54,"1,551,132 Ft",2.77,"1,618,353 Ft",3.38,"1,932,893 Ft",4.36,"2,296,111 Ft",,1016,15,,
239.6,lapos,4.96,"2,732,439 Ft",4.20,"2,453,219 Ft",3.17,"2,011,375 Ft",2.65,"1,746,492 Ft",2.54,"1,690,734 Ft",2.77,"1,764,005 Ft",3.38,"2,106,853 Ft",4.36,"2,502,761 Ft",,1016,15,,
2875,földön,4.96,"2,757,507 Ft",4.20,"2,475,725 Ft",3.17,"2,029,828 Ft",2.65,"1,762,515 Ft",2.54,"1,706,245 Ft",2.77,"1,780,188 Ft",3.38,"2,126,182 Ft",4.36,"2,525,721 Ft",,1016,15,,
9500,ferde,5.24,"2,506,825 Ft",4.43,"2,250,659 Ft",3.34,"1,845,298 Ft",2.79,"1,602,286 Ft",2.68,"1,551,132 Ft",2.93,"1,618,353 Ft",3.57,"1,932,893 Ft",4.60,"2,296,111 Ft",,1072,15,,
252.9,lapos,5.24,"2,732,439 Ft",4.43,"2,453,219 Ft",3.34,"2,011,375 Ft",2.79,"1,746,492 Ft",2.68,"1,690,734 Ft",2.93,"1,764,005 Ft",3.57,"2,106,853 Ft",4.60,"2,502,761 Ft",,1072,15,,
3035,földön,5.24,"2,757,507 Ft",4.43,"2,475,725 Ft",3.34,"2,029,828 Ft",2.79,"1,762,515 Ft",2.68,"1,706,245 Ft",2.93,"1,780,188 Ft",3.57,"2,126,182 Ft",4.60,"2,525,721 Ft",,1072,15,,
10000,ferde,5.24,"2,506,825 Ft",4.43,"2,250,659 Ft",3.34,"1,845,298 Ft",2.79,"1,602,286 Ft",2.68,"1,551,132 Ft",2.93,"1,618,353 Ft",3.57,"1,932,893 Ft",4.60,"2,296,111 Ft",,1072,15,,
266.2,lapos,5.24,"2,732,439 Ft",4.43,"2,453,219 Ft",3.34,"2,011,375 Ft",2.79,"1,746,492 Ft",2.68,"1,690,734 Ft",2.93,"1,764,005 Ft",3.57,"2,106,853 Ft",4.60,"2,502,761 Ft",,1072,15,,
3195,földön,5.24,"2,757,507 Ft",4.43,"2,475,725 Ft",3.34,"2,029,828 Ft",2.79,"1,762,515 Ft",2.68,"1,706,245 Ft",2.93,"1,780,188 Ft",3.57,"2,126,182 Ft",4.60,"2,525,721 Ft",,1072,15,,
10500,ferde,5.79,"2,506,825 Ft",4.90,"2,250,659 Ft",3.69,"1,845,298 Ft",3.09,"1,602,286 Ft",2.96,"1,551,132 Ft",3.23,"1,618,353 Ft",3.94,"1,932,893 Ft",5.09,"2,296,111 Ft",,1184,17,,
279.6,lapos,5.79,"2,732,439 Ft",4.90,"2,453,219 Ft",3.69,"2,011,375 Ft",3.09,"1,746,492 Ft",2.96,"1,690,734 Ft",3.23,"1,764,005 Ft",3.94,"2,106,853 Ft",5.09,"2,502,761 Ft",,1184,17,,
3355,földön,5.79,"2,757,507 Ft",4.90,"2,475,725 Ft",3.69,"2,029,828 Ft",3.09,"1,762,515 Ft",2.96,"1,706,245 Ft",3.23,"1,780,188 Ft",3.94,"2,126,182 Ft",5.09,"2,525,721 Ft",,1184,17,,
11000,ferde,6.06,"2,683,847 Ft",5.13,"2,409,592 Ft",3.86,"1,975,606 Ft",3.23,"1,715,434 Ft",3.10,"1,660,667 Ft",3.39,"1,732,635 Ft",4.13,"2,069,386 Ft",5.33,"2,458,253 Ft",,1240,18,,
292.9,lapos,6.06,"2,925,393 Ft",5.13,"2,626,455 Ft",3.86,"2,153,411 Ft",3.23,"1,869,823 Ft",3.10,"1,810,127 Ft",3.39,"1,888,572 Ft",4.13,"2,255,631 Ft",5.33,"2,679,496 Ft",,1240,18,,
3514,földön,6.06,"2,952,232 Ft",5.13,"2,650,552 Ft",3.86,"2,173,167 Ft",3.23,"1,886,977 Ft",3.10,"1,826,734 Ft",3.39,"1,905,899 Ft",4.13,"2,276,325 Ft",5.33,"2,704,079 Ft",,1240,18,,
10500,ferde,6.35,"2,683,847 Ft",5.38,"2,409,592 Ft",4.05,"1,975,606 Ft",3.39,"1,715,434 Ft",3.25,"1,660,667 Ft",3.55,"1,732,635 Ft",4.33,"2,069,386 Ft",5.58,"2,458,253 Ft",,1300,19,,
279.6,lapos,6.35,"2,925,393 Ft",5.38,"2,626,455 Ft",4.05,"2,153,411 Ft",3.39,"1,869,823 Ft",3.25,"1,810,127 Ft",3.55,"1,888,572 Ft",4.33,"2,255,631 Ft",5.58,"2,679,496 Ft",,1300,19,,
3355,földön,6.35,"2,952,232 Ft",5.38,"2,650,552 Ft",4.05,"2,173,167 Ft",3.39,"1,886,977 Ft",3.25,"1,826,734 Ft",3.55,"1,905,899 Ft",4.33,"2,276,325 Ft",5.58,"2,704,079 Ft",,1300,19,,
12000,ferde,6.63,"2,683,847 Ft",5.61,"2,409,592 Ft",4.22,"1,975,606 Ft",3.53,"1,715,434 Ft",3.39,"1,660,667 Ft",3.70,"1,732,635 Ft",4.51,"2,069,386 Ft",5.82,"2,458,253 Ft",,1356,19,,
319.5,lapos,6.63,"2,925,393 Ft",5.61,"2,626,455 Ft",4.22,"2,153,411 Ft",3.53,"1,869,823 Ft",3.39,"1,810,127 Ft",3.70,"1,888,572 Ft",4.51,"2,255,631 Ft",5.82,"2,679,496 Ft",,1356,19,,
3834,földön,6.63,"2,952,232 Ft",5.61,"2,650,552 Ft",4.22,"2,173,167 Ft",3.53,"1,886,977 Ft",3.39,"1,826,734 Ft",3.70,"1,905,899 Ft",4.51,"2,276,325 Ft",5.82,"2,704,079 Ft",,1356,19,,
12500,ferde,6.90,"3,037,887 Ft",5.84,"2,727,454 Ft",4.40,"2,236,219 Ft",3.68,"1,941,725 Ft",3.53,"1,879,734 Ft",3.86,"1,961,196 Ft",4.70,"2,342,369 Ft",6.07,"2,782,534 Ft",,1412,20,,
332.8,lapos,6.90,"3,311,297 Ft",5.84,"2,972,924 Ft",4.40,"2,437,478 Ft",3.68,"2,116,481 Ft",3.53,"2,048,910 Ft",3.86,"2,137,703 Ft",4.70,"2,553,183 Ft",6.07,"3,032,962 Ft",,1412,20,,
3994,földön,6.90,"3,341,675 Ft",5.84,"3,000,198 Ft",4.40,"2,459,840 Ft",3.68,"2,135,897 Ft",3.53,"2,067,707 Ft",3.86,"2,157,315 Ft",4.70,"2,576,606 Ft",6.07,"3,060,787 Ft",,1412,20,,
13000,ferde,7.17,"3,037,887 Ft",6.07,"2,727,454 Ft",4.57,"2,236,219 Ft",3.83,"1,941,725 Ft",3.67,"1,879,734 Ft",4.01,"1,961,196 Ft",4.88,"2,342,369 Ft",6.31,"2,782,534 Ft",,1468,21,,
346.1,lapos,7.17,"3,311,297 Ft",6.07,"2,972,924 Ft",4.57,"2,437,478 Ft",3.83,"2,116,481 Ft",3.67,"2,048,910 Ft",4.01,"2,137,703 Ft",4.88,"2,553,183 Ft",6.31,"3,032,962 Ft",,1468,21,,
4153,földön,7.17,"3,341,675 Ft",6.07,"3,000,198 Ft",4.57,"2,459,840 Ft",3.83,"2,135,897 Ft",3.67,"2,067,707 Ft",4.01,"2,157,315 Ft",4.88,"2,576,606 Ft",6.31,"3,060,787 Ft",,1468,21,,
13500,ferde,7.45,"3,037,887 Ft",6.30,"2,727,454 Ft",4.75,"2,236,219 Ft",3.97,"1,941,725 Ft",3.81,"1,879,734 Ft",4.16,"1,961,196 Ft",5.07,"2,342,369 Ft",6.55,"2,782,534 Ft",,1524,22,,
359.4,lapos,7.45,"3,311,297 Ft",6.30,"2,972,924 Ft",4.75,"2,437,478 Ft",3.97,"2,116,481 Ft",3.81,"2,048,910 Ft",4.16,"2,137,703 Ft",5.07,"2,553,183 Ft",6.55,"3,032,962 Ft",,1524,22,,
4313,földön,7.45,"3,341,675 Ft",6.30,"3,000,198 Ft",4.75,"2,459,840 Ft",3.97,"2,135,897 Ft",3.81,"2,067,707 Ft",4.16,"2,157,315 Ft",5.07,"2,576,606 Ft",6.55,"3,060,787 Ft",,1524,22,,
14000,ferde,7.72,"3,037,887 Ft",6.53,"2,727,454 Ft",4.92,"2,236,219 Ft",4.12,"1,941,725 Ft",3.95,"1,879,734 Ft",4.32,"1,961,196 Ft",5.26,"2,342,369 Ft",6.79,"2,782,534 Ft",,1580,23,,
372.7,lapos,7.72,"3,311,297 Ft",6.53,"2,972,924 Ft",4.92,"2,437,478 Ft",4.12,"2,116,481 Ft",3.95,"2,048,910 Ft",4.32,"2,137,703 Ft",5.26,"2,553,183 Ft",6.79,"3,032,962 Ft",,1580,23,,
4473,földön,7.72,"3,341,675 Ft",6.53,"3,000,198 Ft",4.92,"2,459,840 Ft",4.12,"2,135,897 Ft",3.95,"2,067,707 Ft",4.32,"2,157,315 Ft",5.26,"2,576,606 Ft",6.79,"3,060,787 Ft",,1580,23,,
14500,ferde,7.99,"3,247,254 Ft",6.77,"2,915,426 Ft",5.10,"2,390,336 Ft",4.26,"2,075,547 Ft",4.09,"2,009,283 Ft",4.47,"2,096,359 Ft",5.44,"2,503,803 Ft",7.03,"2,974,303 Ft",,1636,24,,
386.0,lapos,7.99,"3,539,507 Ft",6.77,"3,177,814 Ft",5.10,"2,605,466 Ft",4.26,"2,262,345 Ft",4.09,"2,190,118 Ft",4.47,"2,285,031 Ft",5.44,"2,729,144 Ft",7.03,"3,241,989 Ft",,1636,24,,
4633,földön,7.99,"3,571,979 Ft",6.77,"3,206,969 Ft",5.10,"2,629,369 Ft",4.26,"2,283,101 Ft",4.09,"2,210,211 Ft",4.47,"2,305,994 Ft",5.44,"2,754,183 Ft",7.03,"3,271,732 Ft",,1636,24,,
15000,ferde,8.27,"3,247,254 Ft",7.00,"2,915,426 Ft",5.27,"2,390,336 Ft",4.41,"2,075,547 Ft",4.23,"2,009,283 Ft",4.62,"2,096,359 Ft",5.63,"2,503,803 Ft",7.27,"2,974,303 Ft",,1692,24,,
399.4,lapos,8.27,"3,539,507 Ft",7.00,"3,177,814 Ft",5.27,"2,605,466 Ft",4.41,"2,262,345 Ft",4.23,"2,190,118 Ft",4.62,"2,285,031 Ft",5.63,"2,729,144 Ft",7.27,"3,241,989 Ft",,1692,24,,
4792,földön,8.27,"3,571,979 Ft",7.00,"3,206,969 Ft",5.27,"2,629,369 Ft",4.41,"2,283,101 Ft",4.23,"2,210,211 Ft",4.62,"2,305,994 Ft",5.63,"2,754,183 Ft",7.27,"3,271,732 Ft",,1692,24,,
15500,ferde,8.54,"3,247,254 Ft",7.23,"2,915,426 Ft",5.45,"2,390,336 Ft",4.56,"2,075,547 Ft",4.37,"2,009,283 Ft",4.77,"2,096,359 Ft",5.82,"2,503,803 Ft",7.51,"2,974,303 Ft",,1748,25,,
412.7,lapos,8.54,"3,539,507 Ft",7.23,"3,177,814 Ft",5.45,"2,605,466 Ft",4.56,"2,262,345 Ft",4.37,"2,190,118 Ft",4.77,"2,285,031 Ft",5.82,"2,729,144 Ft",7.51,"3,241,989 Ft",,1748,25,,
4952,földön,8.54,"3,571,979 Ft",7.23,"3,206,969 Ft",5.45,"2,629,369 Ft",4.56,"2,283,101 Ft",4.37,"2,210,211 Ft",4.77,"2,305,994 Ft",5.82,"2,754,183 Ft",7.51,"3,271,732 Ft",,1748,25,,
16000,ferde,8.82,"3,424,277 Ft",7.46,"3,074,359 Ft",5.62,"2,520,644 Ft",4.70,"2,188,694 Ft",4.51,"2,118,818 Ft",4.93,"2,210,641 Ft",6.00,"2,640,296 Ft",7.75,"3,136,445 Ft",,1804,26,,
426.0,lapos,8.82,"3,732,462 Ft",7.46,"3,351,052 Ft",5.62,"2,747,502 Ft",4.70,"2,385,677 Ft",4.51,"2,309,512 Ft",4.93,"2,409,599 Ft",6.00,"2,877,923 Ft",7.75,"3,418,726 Ft",,1804,26,,
5112,földön,8.82,"3,766,705 Ft",7.46,"3,381,796 Ft",5.62,"2,772,709 Ft",4.70,"2,407,564 Ft",4.51,"2,330,700 Ft",4.93,"2,431,705 Ft",6.00,"2,904,326 Ft",7.75,"3,450,090 Ft",,1804,26,,
16500,ferde,9.11,"3,424,277 Ft",7.71,"3,074,359 Ft",5.81,"2,520,644 Ft",4.86,"2,188,694 Ft",4.66,"2,118,818 Ft",5.09,"2,210,641 Ft",6.20,"2,640,296 Ft",8.01,"3,136,445 Ft",,1864,27,,
